"id","name","preferred_genres","preferred_authors","read_books","rated_books","password"
"188","Sadia Nawar","Productivity;Self Help;Fantasy","Cal Newport;Daniel Kahneman;Cassandra Clare;Sheryl Sandberg","5;6;7;35;70;73;155;162;180;195;218;254;307;311;313;358;438;467;473;527;544;581;610;626;637;649;757;796;902;907;971;977;997","6:5;7:4;35:5;70:4;155:5;162:5;254:2;307:5;311:4;358:4;467:2;527:3;581:4;610:4;626:4;637:2;649:5;796:5;902:3;907:2;971:4;997:2",""
"189","Shahriar Karim","Science Fiction;Biography;Fiction","Isaac Asimov;Veronica Roth;Douglas Adams;Suzanne Collins","21;23;28;41;55;76;77;82;133;135;193;215;261;283;305;309;322;344;364;366;399;422;431;439;514;562;581;598;661;672;681;698;724;744;752;772;775;807;808;816;826;883;951;980","21:5;23:2;28:5;76:4;82:2;135:4;193:2;215:4;283:4;305:5;309:4;344:4;364:4;366:5;399:3;422:5;439:5;514:3;562:4;581:4;661:3;672:5;698:2;744:3;752:2;826:3;883:5;951:5;980:5",""
"190","Afra Anwar","Business;Romance;Thriller","Robert T. Kiyosaki;Janet Evanovich;John Grogan;Ally Carter","30;38;68;83;102;123;152;159;206;214;224;333;343;404;478;480;498;508;578;589;629;663;679;723;724;804;822;896;927;982;993","38:3;68:5;83:2;206:2;214:3;333:3;343:3;404:5;480:4;498:4;508:3;578:2;589:3;663:3;679:3;723:3;724:2;804:4;896:3;927:5;982:4;993:2",""
"191","Maliha Shafiq","Business;Fantasy;Thriller","Robert T. Kiyosaki;Janet Evanovich;Thomas Harris;Brandon Sanderson","25;29;31;38;50;68;142;155;214;215;224;343;396;400;404;429;438;455;480;488;497;502;508;589;679;833;847;863;957;977;982","25:5;29:3;31:3;38:4;142:5;214:3;215:4;224:4;343:5;400:3;404:4;429:5;438:3;480:5;502:4;508:3;589:4;679:3;833:4;957:2;977:4;982:4",""
"192","Iffat Rahim","History;Productivity;Fantasy","Aldous Huxley;C.S. Lewis;Bill Bryson;Cornelia Funke","7;10;12;32;33;44;62;117;130;246;249;301;314;321;381;488;505;519;540;557;565;642;670;709;718;816;827;833;863;883;962;971;976","7:2;32:3;33:5;44:4;62:3;117:4;301:5;314:5;321:3;381:3;519:5;565:4;642:2;670:2;709:5;718:4;816:3;827:4;863:3;883:5;962:2;971:3",""
"193","Hasib Jahan","Thriller;Fiction;Productivity","Vincent Bugliosi;Paula Hawkins;James Patterson;Patrick S?skind","7;31;38;68;194;198;224;280;295;343;348;391;404;414;422;480;508;573;621;651;679;730;818;905;940;941;951;953;959;982","7:4;68:5;194:3;198:4;224:4;295:5;343:3;391:2;404:5;414:5;422:3;480:3;508:3;573:5;621:5;651:3;679:3;818:5;905:4;959:3;982:4",""
"194","Jarin Shafiq","Science Fiction;Thriller;Business","H.G. Wells;Orson Scott Card;Suzanne Collins;Douglas Adams","25;28;29;38;45;61;68;76;77;146;214;224;286;302;305;343;344;404;432;480;499;508;510;589;644;679;796;845;849;980;982","25:4;38:5;45:2;61:4;68:4;76:5;146:3;214:4;224:5;286:2;302:4;305:4;343:3;404:4;499:4;508:3;510:3;589:3;679:5;796:4;845:4;849:4;980:3;982:4",""
"195","Nayeem Sarker","Fiction;Thriller;Romance","Madeleine L'Engle;George Orwell;Pearl S. Buck;Sophie Kinsella","19;38;47;56;68;97;111;119;124;150;201;206;224;233;237;257;270;271;273;343;404;407;432;440;468;478;480;508;615;663;679;690;718;761;778;834;853;867;962;972;982","38:3;47:3;68:4;119:2;124:4;150:4;201:5;206:4;224:5;237:2;270:5;271:4;273:4;343:3;404:3;407:3;440:3;468:4;478:2;480:3;508:4;761:4;778:3;834:2;853:4;867:2;962:3;982:5",""
"196","Adib Faisal","Self Help;Science Fiction;Productivity","Sheryl Sandberg;Malcolm Gladwell;Daniel Kahneman;Cassandra Clare","4;5;7;21;27;55;61;77;91;112;124;133;180;190;218;238;254;270;344;358;439;467;499;626;637;724;759;767;788;902;924;997","4:5;5:2;7:3;21:3;27:4;61:4;77:5;91:4;112:4;124:2;133:3;190:4;218:4;238:2;254:4;344:5;358:2;439:5;626:4;637:4;759:3;767:4;788:4;924:4",""
"197","Fariha Shuvo","Productivity;Thriller;Self Help","Cal Newport;Agatha Christie;Paula Hawkins;Alexander McCall Smith","7;38;68;167;180;190;218;224;254;343;358;404;450;467;480;483;503;508;544;626;635;637;652;679;782;902;924;955;982;997","7:3;38:3;68:3;167:4;180:2;224:3;343:4;358:4;450:2;467:4;480:4;503:4;508:4;544:4;626:3;679:4;782:2;902:4;924:4;955:3;982:5;997:2",""
"198","Rashed Kabir","History;Thriller;Fantasy","Aldous Huxley;H.G. Wells;Jules Verne;Kim Edwards","29;38;62;68;118;162;195;196;199;224;234;255;286;337;343;404;438;446;455;458;480;482;497;502;505;508;516;527;535;554;565;569;572;600;670;679;713;921;955;974;982","29:5;38:5;62:3;68:3;118:2;195:4;196:3;224:5;286:5;343:4;404:4;446:3;458:5;482:5;497:3;502:5;505:4;508:4;527:4;535:3;554:4;565:2;569:3;572:5;670:2;679:5;713:2;974:4;982:5",""
"199","Sadia Mahmud","Business;Science Fiction;Biography","Janet Evanovich;Robert T. Kiyosaki;Suzanne Collins;Ray Bradbury","4;21;23;25;41;61;73;82;112;135;148;214;322;346;368;399;510;514;538;562;589;598;644;681;698;744;752;767;772;796;819;897;968;983","4:4;21:5;25:3;41:4;61:3;73:2;112:4;214:3;322:5;346:2;399:2;510:5;562:4;589:4;598:4;644:4;698:2;744:4;752:4;772:3;796:3;968:2;983:5",""
"200","Rayan Anwar","Self Help;Business;Fantasy","Joe Abercrombie;Daniel Kahneman;Charles Duhigg;Sheryl Sandberg","5;6;92;180;190;199;214;218;226;396;406;467;470;502;527;535;544;589;596;600;610;626;637;709;735;764;779;813;902;907;924;967;986;997","5:2;6:4;92:3;180:2;190:3;199:3;214:3;396:5;406:5;535:5;544:3;589:2;600:3;626:4;637:4;709:3;735:5;764:2;779:3;813:3;902:4;924:3;967:2",""
